seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,reward_weights_norm,sr_loss,reward_loss,total_loss,mean_q,margin_loss,mean_q_gap
1,61,3027,0.8068333333333333,-0.4999999888241291,50,3027,0.12477198988199234,0.009772181510925293,7.162852125475183e-05,0.010130324400961399,-0.0560661181807518,0.0,0.0
1,62,3063,0.8036666666666666,0.6500000078231096,36,3063,0.1250472366809845,0.02500438503921032,5.892944955121493e-06,0.025033850222826004,-0.05755695700645447,0.0,0.0
1,63,3113,0.8005,-0.4999999888241291,50,3113,0.1401936113834381,0.011969510465860367,6.357790698530152e-05,0.012287399731576443,-0.010387895628809929,0.0,0.0
1,64,3163,0.7973333333333333,-0.4999999888241291,50,3163,0.139082670211792,0.011663401499390602,4.005703522125259e-05,0.011863687075674534,-0.04710615798830986,0.0,0.0
1,65,3213,0.7941666666666667,-0.4999999888241291,50,3213,0.14185786247253418,0.021954800933599472,1.974522092496045e-05,0.02205352671444416,-0.05379268154501915,0.0,0.0
1,66,3253,0.791,0.6100000087171793,40,3253,0.14875683188438416,0.043528858572244644,2.241193942609243e-05,0.04364091902971268,-0.05123626068234444,0.0,0.0
1,67,3296,0.7878333333333334,0.5800000093877316,43,3296,0.15026864409446716,0.013568286783993244,3.387441756785847e-05,0.013737658970057964,-0.03146124258637428,0.0,0.0
1,68,3342,0.7846666666666666,0.5500000100582838,46,3342,0.17488151788711548,0.010510049760341644,2.7607171432464384e-05,0.010648085735738277,-0.039242301136255264,0.0,0.0
1,69,3392,0.7815,-0.4999999888241291,50,3392,0.17496658861637115,0.010912677273154259,2.3072338080964983e-05,0.011028039269149303,-0.019632060080766678,0.0,0.0
1,70,3423,0.7783333333333333,0.7000000067055225,31,3423,0.1919400840997696,0.03117264434695244,0.027089856564998627,0.16662193834781647,-0.015453307889401913,0.0,0.0
1,71,3473,0.7751666666666667,-0.4999999888241291,50,3473,0.22228583693504333,0.030055981129407883,0.00011575722601264715,0.030634766444563866,0.019733894616365433,0.0,0.0
1,72,3517,0.772,0.570000009611249,44,3517,0.22666436433792114,0.003384704701602459,0.00011720578913809732,0.003970733843743801,0.04416455700993538,0.0,0.0
1,73,3567,0.7688333333333334,-0.4999999888241291,50,3567,0.23852801322937012,0.01075934711843729,0.00012636976316571236,0.01139119639992714,0.041598301380872726,0.0,0.0
1,74,3617,0.7656666666666667,-0.4999999888241291,50,3617,0.2517956495285034,0.011527130380272865,0.0005152945523150265,0.01410360261797905,0.015222931280732155,0.0,0.0
1,75,3667,0.7625,-0.4999999888241291,50,3667,0.2519979476928711,0.017296625301241875,0.0004264919843990356,0.01942908577620983,-0.025772904977202415,0.0,0.0
1,76,3717,0.7593333333333333,0.5100000109523535,50,3717,0.24310986697673798,0.03936363011598587,0.029670890420675278,0.18771809339523315,-0.0020348557736724615,0.0,0.0
1,77,3767,0.7561666666666667,-0.4999999888241291,50,3767,0.2457573562860489,0.010985709726810455,0.00014240527525544167,0.011697735637426376,0.09255100041627884,0.0,0.0
1,78,3816,0.753,0.5200000107288361,49,3816,0.25533923506736755,0.014201777055859566,4.007605821243487e-05,0.014402157627046108,0.09891247004270554,0.0,0.0
1,79,3861,0.7498333333333334,0.5600000098347664,45,3861,0.25761380791664124,0.005466151051223278,6.184636004036292e-05,0.0057753827422857285,0.14027024805545807,0.0,0.0
1,80,3876,0.7466666666666667,0.8600000031292439,15,3876,0.26748961210250854,0.03096768632531166,0.00017571150965522975,0.031846243888139725,0.13341453671455383,0.0,0.0
1,81,3926,0.7435,-0.4999999888241291,50,3926,0.28580042719841003,0.021200228482484818,4.751831875182688e-05,0.02143782004714012,0.18793664872646332,0.0,0.0
1,82,3962,0.7403333333333333,0.6500000078231096,36,3962,0.3150971233844757,0.019661564379930496,0.0010882472852244973,0.025102801620960236,0.23013219237327576,0.0,0.0
1,83,4012,0.7371666666666667,-0.4999999888241291,50,4012,0.3509173095226288,0.01384534128010273,0.016017552465200424,0.09393310546875,0.22482353448867798,0.0,0.0
1,84,4062,0.734,-0.4999999888241291,50,4062,0.4025541841983795,0.03369371220469475,4.709246786660515e-05,0.03392917290329933,0.23924046754837036,0.0,0.0
1,85,4112,0.7308333333333333,-0.4999999888241291,50,4112,0.4513656795024872,0.009371357038617134,0.010138195939362049,0.060062333941459656,0.2261435091495514,0.0,0.0
1,86,4162,0.7276666666666667,-0.4999999888241291,50,4162,0.49057042598724365,0.007708932738751173,0.00014095546794123948,0.008413709700107574,0.19872623682022095,0.0,0.0
1,87,4212,0.7245,-0.4999999888241291,50,4212,0.5299655795097351,0.00965209025889635,0.007028510794043541,0.04479464516043663,0.13528625667095184,0.0,0.0
1,88,4262,0.7213333333333334,-0.4999999888241291,50,4262,0.5728520154953003,0.008734569884836674,8.68095230543986e-05,0.00916861742734909,0.12033452838659286,0.0,0.0
1,89,4312,0.7181666666666666,-0.4999999888241291,50,4312,0.6187992095947266,0.010226157493889332,4.079064092366025e-05,0.0104301106184721,0.10328593105077744,0.0,0.0
