seed,batch_idx,collected_frames,mean_batch_reward,done_rate,loss_objective,loss_critic,loss_entropy,total_loss,grad_norm,learning_rate
1,31,15872,0.08863281458616257,0.09765625,0.17471522092819214,0.00011010115849785507,-0.0026407050900161266,0.17218461632728577,0.9545949697494507,0.0003
1,32,16384,0.0906054675579071,0.099609375,0.18266582489013672,4.411254792557884e-07,-0.004636246245354414,0.17803002893924713,1.392473578453064,0.0003
1,33,16896,0.07876954227685928,0.087890625,0.03495344892144203,0.00037351035280153155,-0.0035468970891088247,0.03178006038069725,0.5690476894378662,0.0003
1,34,17408,0.0906054750084877,0.099609375,-0.02928759530186653,8.05765375844203e-06,-0.0024056911934167147,-0.031685229390859604,0.13886943459510803,0.0003
1,35,17920,0.0906054750084877,0.099609375,0.03624063730239868,1.3907604625273962e-05,-0.0029922821559011936,0.033262260258197784,0.705463171005249,0.0003
1,36,18432,0.0906054675579071,0.099609375,0.2312772572040558,4.5289383706403896e-05,-0.003213586052879691,0.2281089574098587,1.2783302068710327,0.0003
1,37,18944,0.0906054675579071,0.099609375,-0.09096160531044006,2.518074495583278e-07,-0.002182690193876624,-0.09314404428005219,1.1285008192062378,0.0003
1,38,19456,0.0906054750084877,0.099609375,-0.0958138182759285,1.0690782659139586e-07,-0.002223249990493059,-0.09803696721792221,0.09216874837875366,0.0003
1,39,19968,0.0906054750084877,0.099609375,-0.005009716376662254,2.2028653745564952e-07,-0.0020942187402397394,-0.007103715091943741,0.029761021956801414,0.0003
1,40,20480,0.0906054675579071,0.099609375,0.03271796554327011,3.614319575717673e-05,-0.0015002673026174307,0.031253840774297714,0.09829618781805038,0.0003
1,41,20992,0.0906054750084877,0.099609375,-0.05307800695300102,3.51774269802263e-06,-0.0016835881397128105,-0.05475807934999466,0.8491501808166504,0.0003
1,42,21504,0.0906054750084877,0.099609375,-0.09352195262908936,4.701023044617614e-06,-0.0019192445324733853,-0.09543649852275848,0.21342770755290985,0.0003
1,43,22016,0.0906054750084877,0.099609375,0.01698768325150013,1.5359706594608724e-05,-0.0018517482094466686,0.015151293948292732,0.08718160539865494,0.0003
1,44,22528,0.09257813543081284,0.1015625,0.07231514900922775,4.9365389998001774e-08,-0.001785729662515223,0.07052946835756302,0.035877056419849396,0.0003
1,45,23040,0.0906054750084877,0.099609375,0.10824479162693024,7.404184287906901e-08,-0.001773059251718223,0.10647180676460266,0.8415201306343079,0.0003
1,46,23552,0.0906054750084877,0.099609375,0.12033417075872421,1.4772227586945519e-05,-0.0012085323687642813,0.11914041638374329,0.1559661626815796,0.0003
1,47,24064,0.0906054675579071,0.099609375,-0.1354900300502777,4.4509469887543673e-08,-0.0019021655898541212,-0.13739214837551117,0.0979471504688263,0.0003
1,48,24576,0.07679687440395355,0.0859375,-0.11237457394599915,0.0013377079740166664,-0.001992884324863553,-0.11302974820137024,0.3244459629058838,0.0003
1,49,25088,0.0906054750084877,0.099609375,-0.13203755021095276,2.272164601890836e-05,-0.0016878184396773577,-0.13370265066623688,0.5996000170707703,0.0003
1,50,25600,0.0906054675579071,0.099609375,-0.10164999961853027,3.282968009443721e-06,-0.0025167185813188553,-0.10416343063116074,0.048549406230449677,0.0003
1,51,26112,0.0906054750084877,0.099609375,-0.05437105894088745,7.628381354152225e-06,-0.0013841460458934307,-0.05574757605791092,0.21515944600105286,0.0003
1,52,26624,0.0906054750084877,0.099609375,-0.11469660699367523,6.931274128874065e-06,-0.0015446348115801811,-0.11623430997133255,0.20861093699932098,0.0003
1,53,27136,0.0906054675579071,0.099609375,-0.05146847292780876,1.347785655525513e-06,-0.002005326794460416,-0.053472451865673065,0.31073805689811707,0.0003
1,54,27648,0.0906054750084877,0.099609375,0.05114365369081497,2.8816120902774855e-05,-0.0015092046232894063,0.04966326430439949,1.8866825103759766,0.0003
1,55,28160,0.08863282203674316,0.09765625,-0.08145185559988022,4.0097569581121206e-05,-0.0015760674141347408,-0.08298782259225845,0.6051884293556213,0.0003
1,56,28672,0.0906054675579071,0.099609375,-0.044896602630615234,7.63614516472444e-05,-0.0012861655559390783,-0.046106405556201935,0.19388394057750702,0.0003
1,57,29184,0.08863281458616257,0.09765625,-0.12995614111423492,5.607285856967792e-05,-0.001300133764743805,-0.13120019435882568,0.20276060700416565,0.0003
1,58,29696,0.0906054750084877,0.099609375,0.17043112218379974,1.3704278956083726e-07,-0.0013439954491332173,0.1690872609615326,1.1442880630493164,0.0003
1,59,30208,0.09257812798023224,0.1015625,0.0195714570581913,5.0682512409139235e-08,-0.0012418008409440517,0.01832970604300499,0.9956856369972229,0.0003
