seed,episode,global_step,epsilon,episode_return,phi_norm,reward_weights_norm,sr_loss,reward_loss,total_loss
0,39,1909,0.536875,-0.4999999888241291,12880.0849609375,0.017332278192043304,15815152.0,0.2101176530122757,15815156.0
0,40,1959,0.525,-0.4999999888241291,13422.4560546875,0.017332090064883232,322853.84375,0.04189925268292427,322854.6875
0,41,2009,0.513125,-0.4999999888241291,13057.9033203125,0.017331993207335472,12983992.0,0.0977688729763031,12983994.0
0,42,2059,0.50125,-0.4999999888241291,13483.0703125,0.017331859096884727,17592528.0,0.059068165719509125,17592530.0
0,43,2109,0.489375,-0.4999999888241291,13604.48046875,0.017331771552562714,770392.8125,0.0003834617673419416,770392.8125
0,44,2159,0.47750000000000004,-0.4999999888241291,13009.4541015625,0.017331857234239578,16250533.0,0.016255801543593407,16250533.0
0,45,2209,0.46562500000000007,-0.4999999888241291,13216.611328125,0.017331667244434357,15548921.0,0.00623568519949913,15548921.0
0,46,2259,0.4537500000000001,-0.4999999888241291,14197.9013671875,0.01733148656785488,15359742.0,0.05205748602747917,15359743.0
0,47,2309,0.441875,-0.4999999888241291,13723.689453125,0.017331162467598915,442569.84375,0.11775422096252441,442572.1875
0,48,2359,0.43000000000000005,-0.4999999888241291,12490.291015625,0.01733100228011608,17425756.0,0.20309484004974365,17425760.0
0,49,2409,0.41812499999999997,-0.4999999888241291,13213.06640625,0.017330799251794815,306432.125,0.000400284247007221,306432.125
0,50,2459,0.40625,-0.4999999888241291,14485.822265625,0.01733049377799034,610860.0,0.02617565169930458,610860.5
0,51,2509,0.39437500000000003,-0.4999999888241291,12902.3662109375,0.01733049750328064,583637.5,0.00370574789121747,583637.5625
0,52,2559,0.38250000000000006,-0.4999999888241291,13020.5458984375,0.01733025722205639,300054.53125,0.1524842381477356,300057.59375
