seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,replay_updates_per_step,q_loss,mean_q,mean_td_target
1,26,1254,0.9176666666666666,-0.4999999888241291,50,1254,2,0.0016587490681558847,0.7988409996032715,0.8217438459396362
1,27,1304,0.9145,-0.4999999888241291,50,1304,2,0.05530432239174843,0.8466067910194397,0.8004896640777588
1,28,1354,0.9113333333333333,-0.4999999888241291,50,1354,2,0.036022502928972244,0.8488255143165588,0.8336339592933655
1,29,1404,0.9081666666666667,-0.4999999888241291,50,1404,2,0.0033839514944702387,0.896941065788269,0.8837834596633911
1,30,1454,0.905,-0.4999999888241291,50,1454,2,0.031377360224723816,0.897988498210907,0.8811072111129761
1,31,1504,0.9018333333333334,-0.4999999888241291,50,1504,2,0.02429778128862381,0.9343465566635132,0.9178543090820312
1,32,1554,0.8986666666666667,-0.4999999888241291,50,1554,2,0.004604987800121307,0.9589037895202637,0.9705266356468201
1,33,1604,0.8955,-0.4999999888241291,50,1604,2,0.0266298595815897,0.9573230743408203,0.9624109864234924
1,34,1654,0.8923333333333333,-0.4999999888241291,50,1654,2,0.0007148501463234425,0.9886441826820374,0.9955817461013794
1,35,1704,0.8891666666666667,-0.4999999888241291,50,1704,2,0.001184262102469802,0.9799714088439941,0.987555980682373
1,36,1754,0.886,-0.4999999888241291,50,1754,2,0.03967054933309555,0.9904239177703857,0.9802846908569336
1,37,1804,0.8828333333333334,-0.4999999888241291,50,1804,2,0.002507236786186695,0.95441073179245,1.0057623386383057
1,38,1854,0.8796666666666667,-0.4999999888241291,50,1854,2,0.030218515545129776,0.9771051406860352,0.9563131332397461
1,39,1904,0.8765000000000001,-0.4999999888241291,50,1904,2,0.030508115887641907,0.9715296030044556,0.946760356426239
1,40,1954,0.8733333333333333,-0.4999999888241291,50,1954,2,0.001166636124253273,0.9735093116760254,0.9646225571632385
1,41,2004,0.8701666666666666,-0.4999999888241291,50,2004,2,0.05810997262597084,0.933888852596283,0.898940920829773
1,42,2054,0.867,-0.4999999888241291,50,2054,2,0.009870666079223156,0.9356725215911865,0.9074715375900269
1,43,2104,0.8638333333333333,-0.4999999888241291,50,2104,2,0.0020055724307894707,0.9252268671989441,0.9297392964363098
1,44,2146,0.8606666666666667,0.5900000091642141,42,2146,2,0.030589509755373,0.9060722589492798,0.9026702642440796
1,45,2196,0.8575,-0.4999999888241291,50,2196,2,0.0007022484205663204,0.8720208406448364,0.9016717672348022
1,46,2246,0.8543333333333334,-0.4999999888241291,50,2246,2,0.01963156647980213,0.885209321975708,0.8767310380935669
1,47,2296,0.8511666666666666,-0.4999999888241291,50,2296,2,0.00033633605926297605,0.8829917907714844,0.8871766924858093
1,48,2346,0.848,-0.4999999888241291,50,2346,2,0.0012251012958586216,0.8873645663261414,0.8852153420448303
1,49,2396,0.8448333333333333,-0.4999999888241291,50,2396,2,0.019992586225271225,0.8678337931632996,0.8511607646942139
1,50,2446,0.8416666666666667,-0.4999999888241291,50,2446,2,0.013772139325737953,0.8640619516372681,0.840654194355011
1,51,2487,0.8385,0.6000000089406967,41,2487,2,0.0009713225299492478,0.8393356800079346,0.8554388284683228
1,52,2537,0.8353333333333334,-0.4999999888241291,50,2537,2,0.0012571897823363543,0.8479565978050232,0.8645932674407959
1,53,2587,0.8321666666666667,-0.4999999888241291,50,2587,2,0.022034073248505592,0.8128180503845215,0.8076443672180176
1,54,2637,0.829,-0.4999999888241291,50,2637,2,0.002342855790629983,0.8145998120307922,0.8386521339416504
